,date,baseline,neural net,simple dispatch
77,2017-09-04 05:00:00,520.8303459287189,704.0188,600.7762306146068
78,2017-09-04 06:00:00,603.2573146279436,680.28485,567.132774667694
79,2017-09-04 07:00:00,378.4244434529592,808.37787,723.1912667090738
80,2017-09-04 08:00:00,510.82288974086805,747.4196,459.3754772010507
81,2017-09-04 09:00:00,376.3637397770446,771.2315,360.9293048821533
82,2017-09-04 10:00:00,570.444333712394,733.9391,360.9293048821615
83,2017-09-04 11:00:00,674.7461495008295,682.22644,762.3951530350031
84,2017-09-04 12:00:00,518.2148704030876,688.8569,531.625051842593
85,2017-09-04 13:00:00,597.6084517005635,746.3714,519.8941252478223
86,2017-09-04 14:00:00,539.2236544529666,694.5376,692.9210058244514
87,2017-09-04 15:00:00,896.2583797141265,652.14343,900.6453866473886
