date,neural net|0,neural net|1,neural net|2,neural net|3,neural net|4,neural net|5,neural net|6,neural net|7,neural net|8,neural net|9,neural net|10,neural net|11,neural net|12,neural net|13,neural net|14,neural net|15,neural net|16,neural net|17,neural net|18,neural net|19,neural net|20,neural net|21,neural net|22,neural net|23
2017-10-09,765.5159,767.345,840.3008,757.6768,661.06854,687.9789400000002,735.59094,697.0896,852.0468,869.21454,648.4148,655.1083,702.2435,757.84296,710.9031,872.2798,921.848,830.2667,752.16833,749.2345,775.33966,809.5882,859.3867,851.5013
2017-10-10,743.6945,704.3406,753.5861,674.16895,722.5731,723.6244,639.6041,641.3695700000002,706.02155,665.825,661.2942,619.2806400000002,672.7677,656.9129,684.1988,666.31415,684.07526,703.6126,669.91174,767.153,769.0768400000002,695.9566,707.6477,693.8248
2017-10-11,599.62866,615.3886,750.0393,636.82825,624.32526,619.04987,605.977,673.1627,645.8555,494.87857,555.58765,756.0061599999998,751.90393,716.1405599999998,741.4042,694.5304,741.9979,750.5509599999998,764.18463,796.3560000000001,758.2766,734.40063,748.049,681.05743
2017-10-12,714.8512,622.4248,711.3108,662.2133,708.6855,660.5303,760.6415,580.19867,636.0709,608.34125,694.1244,777.01605,770.75964,761.7466,769.0296599999998,716.47565,741.3522,777.2194,782.4729,790.06604,772.2679,883.628,838.4995,680.36395
2017-10-13,709.3860000000002,713.788,842.6692,670.4689999999998,696.4905,644.1246,554.77515,522.55743,526.9616,595.0778,660.3976,648.2421,704.76825,728.9895,848.0323,775.6401,773.54193,697.3231,709.23535,800.7474,801.4113,823.91205,792.00146,831.6423
2017-10-14,681.6233,632.9222,712.7859,641.3152,574.0474,598.03,544.7887,549.18884,577.77277,464.20688,554.177,642.0704,692.1673,692.78,778.40436,717.706,730.84186,699.5503,714.85364,777.5633,802.0011599999998,789.3889999999999,781.6624,845.5926
2017-10-15,707.9388,845.04,684.9732700000002,753.98016,661.2207599999998,647.56604,690.5849599999998,567.5651,584.3340000000002,577.62396,590.4882,768.1451,695.6309,612.58514,693.00464,740.7712,735.8893,782.1872599999998,821.98,842.4019,930.0681,718.6301,655.48816,614.9546
2017-10-18,799.3201,784.6011,645.5783700000002,714.1759,679.5151400000002,571.6192599999998,569.1227,507.73438,538.1984,541.4105,585.1876,678.34644,753.0928,758.7593,777.53156,721.9286,687.77856,738.1827,743.3518,689.7094,821.2104,780.4339,801.5909,873.21625
2017-10-19,775.2531,743.8688400000002,669.56757,671.2323,665.97595,648.42444,618.56836,581.3496,560.2370599999998,609.8816,634.7558,739.7568,689.3885,671.8593,681.7847,612.22186,642.86017,626.0402,682.8388,673.9994,768.2605,713.6085,796.095,769.3045
2017-10-20,765.0497,769.4046599999998,636.3989,699.11993,674.572,641.0534,620.9663,593.993,585.52045,585.2481700000002,603.15,666.53357,709.65753,730.53046,760.3113,682.25226,650.703,688.1239999999998,694.9227,663.2404,764.4131,720.3131,754.8034,765.5897
